Entity,Code,Year,Oil_cons_TWh,Gas_cons_TWh,Coal_cons_TWh
Africa,,1965,341.26276,9.543755,323.49612
Africa,,1966,369.48657,10.669916,323.1222
Africa,,1967,368.12524,10.54567,330.29156
Africa,,1968,389.19986,10.68897,343.5129
Africa,,1969,396.92285,12.492,346.64294
Africa,,1970,433.7723,15.520325,360.7569
Africa,,1971,473.56543,18.405264,383.01233
Africa,,1972,510.67264,24.670656,384.21082
Africa,,1973,549.7197,39.551792,408.91034
Africa,,1974,567.7997,44.518486,425.6462
Africa,,1975,596.40466,53.63838,451.0805
Africa,,1976,652.58044,60.98139,481.07416
Africa,,1977,695.1663,68.23419,491.69846
Africa,,1978,732.181,97.3699,477.81558
Africa,,1979,770.9386,148.84282,507.24698
Africa,,1980,817.23883,186.91399,543.55707
Africa,,1981,883.8619,228.49117,635.79877
Africa,,1982,925.22723,246.73355,701.1759
Africa,,1983,964.55225,271.27533,713.24603
Africa,,1984,981.7521,259.90277,762.8978
Africa,,1985,1007.09186,278.84274,787.1659
Africa,,1986,988.59314,313.2712,805.3561
Africa,,1987,1042.0686,323.38437,828.3197
Africa,,1988,1086.2682,358.44455,890.16077
Africa,,1989,1123.9265,371.47104,835.62085
Africa,,1990,1142.4028,398.6454,877.6783
Africa,,1991,1148.7052,401.6356,853.76215
Africa,,1992,1170.5247,421.27026,858.8312
Africa,,1993,1180.0767,412.64398,871.7139
Africa,,1994,1221.8848,431.82794,894.4478
Africa,,1995,1266.7817,461.2435,922.47125
Africa,,1996,1293.9713,484.19177,935.2283
Africa,,1997,1332.2731,474.47552,959.0191
Africa,,1998,1363.5087,499.33698,937.03894
Africa,,1999,1414.5602,504.01962,966.0107
Africa,,2000,1420.3865,556.8224,963.7306
Africa,,2001,1432.6643,634.63617,975.9263
Africa,,2002,1479.1665,670.6054,934.4216
Africa,,2003,1524.8151,711.5067,1017.04846
Africa,,2004,1586.5107,783.0682,1119.1619
Africa,,2005,1654.9192,807.7816,1039.0726
Africa,,2006,1673.7168,843.4421,1054.097
Africa,,2007,1734.7408,900.0697,1071.6333
Africa,,2008,1824.851,935.1621,1180.7251
Africa,,2009,1885.9763,940.86066,1176.0021
Africa,,2010,1966.2146,980.7318,1164.8401
Africa,,2011,1934.1709,1060.527,1147.2993
Africa,,2012,2046.8298,1146.7704,1118.487
Africa,,2013,2121.4414,1169.7455,1130.1606
Africa,,2014,2143.3335,1202.32,1183.806
Africa,,2015,2199.145,1325.3599,1119.0386
Africa,,2016,2210.9258,1370.4951,1186.288
Africa,,2017,2233.0898,1448.7449,1185.0671
Africa,,2018,2257.502,1543.5508,1163.5999
Africa,,2019,2262.0361,1549.7299,1231.3168
Africa,,2020,2011.0526,1535.9724,1157.9011
Africa,,2021,2183.542,1643.8152,1168.7407
Africa (BP),,1965,341.26276,9.543755,323.49612
Africa (BP),,1966,369.48657,10.669916,323.1222
Africa (BP),,1967,368.12524,10.54567,330.2916
Africa (BP),,1968,389.19986,10.68897,343.5129
Africa (BP),,1969,396.92288,12.492,346.6429
Africa (BP),,1970,433.7723,15.520325,360.7569
Africa (BP),,1971,473.56543,18.405264,383.01233
Africa (BP),,1972,510.67264,24.670656,384.21082
Africa (BP),,1973,549.7198,39.551792,408.91034
Africa (BP),,1974,567.7997,44.518486,425.64624
Africa (BP),,1975,596.40466,53.63838,451.0805
Africa (BP),,1976,652.5805,60.98139,481.07416
Africa (BP),,1977,695.1663,68.23419,491.69846
Africa (BP),,1978,732.181,97.369896,477.81558
Africa (BP),,1979,770.93866,148.84282,507.247
Africa (BP),,1980,817.2389,186.91397,543.55707
Africa (BP),,1981,883.8619,228.49115,635.79877
Africa (BP),,1982,925.22723,246.73355,701.1759
Africa (BP),,1983,964.5522,271.27536,713.24603
Africa (BP),,1984,981.752,259.90277,762.8979
Africa (BP),,1985,1007.09186,278.84274,787.1659
Africa (BP),,1986,988.5932,313.2712,805.3561
Africa (BP),,1987,1042.0687,323.38437,828.3197
Africa (BP),,1988,1086.2682,358.44455,890.1608
Africa (BP),,1989,1123.9265,371.47104,835.62085
Africa (BP),,1990,1142.4028,398.6454,877.6782
Africa (BP),,1991,1148.7052,401.6356,853.76215
Africa (BP),,1992,1170.5247,421.27026,858.8312
Africa (BP),,1993,1180.0768,412.64398,871.7139
Africa (BP),,1994,1221.8846,431.82794,894.4478
Africa (BP),,1995,1266.7817,461.2435,922.47125
Africa (BP),,1996,1293.9712,484.19174,935.2282
Africa (BP),,1997,1332.2731,474.47552,959.0191
Africa (BP),,1998,1363.5087,499.337,937.03894
Africa (BP),,1999,1414.5602,504.0196,966.01074
Africa (BP),,2000,1420.3865,556.8223,963.7305
Africa (BP),,2001,1432.6643,634.63617,975.9263
Africa (BP),,2002,1479.1666,670.60535,934.4216
Africa (BP),,2003,1524.8151,711.5067,1017.04846
Africa (BP),,2004,1586.5107,783.06824,1119.1617
Africa (BP),,2005,1654.9193,807.7816,1039.0726
Africa (BP),,2006,1673.7168,843.4421,1054.097
Africa (BP),,2007,1734.7408,900.0697,1071.6333
Africa (BP),,2008,1824.851,935.1621,1180.725
Africa (BP),,2009,1885.9764,940.86066,1176.0021
Africa (BP),,2010,1966.2146,980.7318,1164.8401
Africa (BP),,2011,1934.1709,1060.527,1147.2993
Africa (BP),,2012,2046.83,1146.7704,1118.4869
Africa (BP),,2013,2121.4414,1169.7455,1130.1606
Africa (BP),,2014,2143.3335,1202.32,1183.8062
Africa (BP),,2015,2199.145,1325.3599,1119.0386
Africa (BP),,2016,2210.926,1370.4951,1186.288
