Month,dec1980s,dec1990s,dec2000s,dec2010s,y2007,        y2012,        y2023
1,19318513,18982538.71,18569924.77,17906877.05,17708165.68,18824675.77,16205000.65
2,18359666.83,17915953.24,17629323.62,16866734.92,16851929.43,17565141,15739251.07
3,19367546.77,19073410.68,18876375.9,18093534.57,17813701.06,19178666.55,16839818.74
4,21255830.1,21188027.9,20819758.53,20175689.81,19593828.3,21158675.23,18809968.27
5,23094962.9,23089242.97,22756381.13,22050793.14,21699017.52,22663356.1,20480153.45
6,25049576.73,24762672.13,24452022.77,23643721.92,23842233.63,23647657.4,21433641.2
7,25993824.16,25289497.19,24698372.55,23777678.86,23514987.74,23609070.23,
8,25649380.13,25016688.81,24165591.48,23201372.55,22695319.87,22496225.65,
9,25860403.63,25154723.37,24223846.73,23067239.78,22910836.5,22487489.07,
10,26930596.13,26515465.9,25708093.19,24502531.8,24324271.9,24136099.71,
11,26881510.27,26322714.63,25780399.67,24948405.98,25276651.32,25096318.03,
12,23396336.84,22757002.87,22373495.39,21724863.05,23344766.73,21818858.84,
