year,country,num,production,price,gdp_oecd,n,,,
1994,Argentina,1,8,6562.5,30209935.56,1,,,
1995,Argentina,1,8,6326.53,31012660.55,1,,,
1996,Argentina,1,8,6212.42,31964076.63,1,,,
1997,Argentina,1,8,6303.64,33114256.54,1,,,
1998,Argentina,1,1130,6233.48,34104489.21,1,,,
1999,Argentina,1,200,6133.37,35272866.76,1,,,
2000,Argentina,1,200,5997.58,36710501.67,1,,,
2001,Argentina,1,200,1955.12,37221444.01,1,,,
2002,Argentina,1,946,2054.26,37796848.58,1,,,
2003,Argentina,1,960,1964.01,38568146.48,1,,,
2004,Argentina,1,1970,2122.41,39829276.66,1,,,
2005,Argentina,1,1980,1746.83,40953034.21,1,,,
2006,Argentina,1,2900,2692.66,42181953.75,1,,,
2007,Argentina,1,3000,3989.15,43278836.46,1,,,
2008,Argentina,1,3170,4922.94,43450354.83,1,,,
2009,Argentina,1,2220,4990.64,41985414.99,1,,,
2010,Argentina,1,2950,5639.02,43239125.1,1,,,
2011,Argentina,1,2950,5524.15,44047167.85,1,,,
2012,Argentina,1,2700,6344.22,44657948.3,1,,,
2013,Argentina,1,2500,6996.6,45336016.41,1,,,
2014,Argentina,1,3200,6756.89,46284924.39,1,,,
2015,Argentina,1,3600,6500,47411160.77,1,,,
2016,Argentina,1,5800,8564.36,48278076.9,1,,,
2017,Argentina,1,5700,14574.43,49482546.8,1,,,
2018,Argentina,1,6400,15180.27,50649430.97,1,,,
2019,Argentina,1,6300,10905.02,51525982.7,1,,,
2020,Argentina,1,5900,7728.4,49354976.88,1,,,
2021,Argentina,1,5970,11094.48,52056443.62,1,,,
2022,Argentina,1,6200,30447.66,53501765.22,1,,,
1994,Australia,2,1700,6562.5,30209935.56,1,,,
1995,Australia,2,1700,6326.53,31012660.55,1,,,
1996,Australia,2,3700,6212.42,31964076.63,1,,,
1997,Australia,2,2800,6303.64,33114256.54,1,,,
1998,Australia,2,2100,6233.48,34104489.21,1,,,
1999,Australia,2,2200,6133.37,35272866.76,1,,,
2000,Australia,2,2400,5997.58,36710501.67,1,,,
2001,Australia,2,2000,1955.12,37221444.01,1,,,
2002,Australia,2,3140,2054.26,37796848.58,1,,,
2003,Australia,2,3450,1964.01,38568146.48,1,,,
2004,Australia,2,3930,2122.41,39829276.66,1,,,
2005,Australia,2,3770,1746.83,40953034.21,1,,,
2006,Australia,2,5500,2692.66,42181953.75,1,,,
2007,Australia,2,6910,3989.15,43278836.46,1,,,
2008,Australia,2,6280,4922.94,43450354.83,1,,,
2009,Australia,2,6280,4990.64,41985414.99,1,,,
2010,Australia,2,9260,5639.02,43239125.1,1,,,
2011,Australia,2,12500,5524.15,44047167.85,1,,,
2012,Australia,2,12800,6344.22,44657948.3,1,,,
2013,Australia,2,12700,6996.6,45336016.41,1,,,
2014,Australia,2,13300,6756.89,46284924.39,1,,,
2015,Australia,2,14100,6500,47411160.77,1,,,
2016,Australia,2,14000,8564.36,48278076.9,1,,,
2017,Australia,2,40000,14574.43,49482546.8,1,,,
2018,Australia,2,58800,15180.27,50649430.97,1,,,
2019,Australia,2,45000,10905.02,51525982.7,1,,,
2020,Australia,2,39700,7728.4,49354976.88,1,,,
2021,Australia,2,55300,11094.48,52056443.62,1,,,
2022,Australia,2,61000,30447.66,53501765.22,1,,,
1994,Brazil,3,32,6562.5,30209935.56,1,,,
1995,Brazil,3,32,6326.53,31012660.55,1,,,
1996,Brazil,3,32,6212.42,31964076.63,1,,,
1997,Brazil,3,32,6303.64,33114256.54,1,,,
1998,Brazil,3,32,6233.48,34104489.21,1,,,
1999,Brazil,3,32,6133.37,35272866.76,1,,,
2000,Brazil,3,30,5997.58,36710501.67,1,,,
2001,Brazil,3,220,1955.12,37221444.01,1,,,
2002,Brazil,3,224,2054.26,37796848.58,1,,,
2003,Brazil,3,240,1964.01,38568146.48,1,,,
2004,Brazil,3,242,2122.41,39829276.66,1,,,
2005,Brazil,3,242,1746.83,40953034.21,1,,,
2006,Brazil,3,242,2692.66,42181953.75,1,,,
2007,Brazil,3,180,3989.15,43278836.46,1,,,
2008,Brazil,3,160,4922.94,43450354.83,1,,,
2009,Brazil,3,160,4990.64,41985414.99,1,,,
2010,Brazil,3,160,5639.02,43239125.1,1,,,
2011,Brazil,3,320,5524.15,44047167.85,1,,,
2012,Brazil,3,150,6344.22,44657948.3,1,,,
2013,Brazil,3,400,6996.6,45336016.41,1,,,
2014,Brazil,3,160,6756.89,46284924.39,1,,,
2015,Brazil,3,200,6500,47411160.77,1,,,
2016,Brazil,3,200,8564.36,48278076.9,1,,,
2017,Brazil,3,200,14574.43,49482546.8,1,,,
2018,Brazil,3,300,15180.27,50649430.97,1,,,
2019,Brazil,3,2400,10905.02,51525982.7,1,,,
2020,Brazil,3,1420,7728.4,49354976.88,1,,,
2021,Brazil,3,1700,11094.48,52056443.62,1,,,
2022,Brazil,3,2200,30447.66,53501765.22,1,,,
1994,Chile,4,2000,6562.5,30209935.56,1,,,
1995,Chile,4,2000,6326.53,31012660.55,1,,,
1996,Chile,4,2700,6212.42,31964076.63,1,,,
1997,Chile,4,4100,6303.64,33114256.54,1,,,
1998,Chile,4,4700,6233.48,34104489.21,1,,,
1999,Chile,4,5300,6133.37,35272866.76,1,,,
2000,Chile,4,5300,5997.58,36710501.67,1,,,
2001,Chile,4,6800,1955.12,37221444.01,1,,,
2002,Chile,4,5920,2054.26,37796848.58,1,,,
2003,Chile,4,6580,1964.01,38568146.48,1,,,
2004,Chile,4,7990,2122.41,39829276.66,1,,,
2005,Chile,4,8270,1746.83,40953034.21,1,,,
2006,Chile,4,8200,2692.66,42181953.75,1,,,
2007,Chile,4,11100,3989.15,43278836.46,1,,,
2008,Chile,4,10600,4922.94,43450354.83,1,,,
2009,Chile,4,5620,4990.64,41985414.99,1,,,
2010,Chile,4,10510,5639.02,43239125.1,1,,,
2011,Chile,4,12900,5524.15,44047167.85,1,,,
2012,Chile,4,13200,6344.22,44657948.3,1,,,
2013,Chile,4,11200,6996.6,45336016.41,1,,,
2014,Chile,4,11500,6756.89,46284924.39,1,,,
2015,Chile,4,10500,6500,47411160.77,1,,,
2016,Chile,4,14300,8564.36,48278076.9,1,,,
2017,Chile,4,14200,14574.43,49482546.8,1,,,
2018,Chile,4,17000,15180.27,50649430.97,1,,,
2019,Chile,4,19300,10905.02,51525982.7,1,,,
2020,Chile,4,21500,7728.4,49354976.88,1,,,
2021,Chile,4,28300,11094.48,52056443.62,1,,,
2022,Chile,4,39000,30447.66,53501765.22,1,,,
1994,China,5,320,6562.5,30209935.56,1,,,
1995,China,5,320,6326.53,31012660.55,1,,,
1996,China,5,2800,6212.42,31964076.63,1,,,
1997,China,5,2900,6303.64,33114256.54,1,,,
1998,China,5,3000,6233.48,34104489.21,1,,,
1999,China,5,2300,6133.37,35272866.76,1,,,
2000,China,5,2400,5997.58,36710501.67,1,,,
2001,China,5,2400,1955.12,37221444.01,1,,,
2002,China,5,2400,2054.26,37796848.58,1,,,
2003,China,5,2500,1964.01,38568146.48,1,,,
